Age,Gender,Region,District,Language Spoken by Student,Math Term 1,Physics Term 1,Chemistry Term 1,Math Term 2,Physics Term 2,Chemistry Term 2,Math Term 3,Physics Term 3,Chemistry Term 3,Attendance
17,Female,Central,Bushenyi,Teso,49,100,63,55,74,94,81,72,61,0.88
15,Male,Central,Pader,Luganda,93,100,100,77,65,100,100,92,65,0.94
16,Female,Central,Ntungamo,Lumasaba,35,100,45,52,72,86,67,84,27,0.93
15,Female,Central,Mbale,Luganda,81,75,70,45,85,83,98,70,98,0.83
17,Female,Central,Iganga,Lumasaba,54,73,100,54,60,100,64,17,94,0.89
17,Male,Eastern,Bushenyi,Runyankole,77,87,82,67,41,100,63,62,100,0.76
17,Male,Eastern,Masaka,Acholi,100,88,60,78,42,100,99,95,78,0.91
16,Male,Northern,Bushenyi,Runyankole,51,100,35,23,79,100,53,98,97,0.8
16,Female,Northern,Arua,Acholi,82,63,84,75,57,98,100,75,100,0.76
15,Male,Central,Tororo,Luganda,73,87,69,55,43,86,54,97,57,0.89
15,Male,Eastern,Kasese,Luganda,82,100,58,58,88,96,64,58,58,0.83
15,Male,Northern,Soroti,Lusoga,97,100,62,84,14,69,90,77,62,0.76
17,Female,Northern,Kabale,Rutooro,64,100,100,51,77,64,84,95,72,0.88
17,Female,Northern,Lira,Acholi,41,100,70,92,92,100,54,36,100,0.83
17,Female,Western,Gulu,Langi,68,43,28,52,55,96,71,53,50,0.85
15,Male,Central,Mbale,Luganda,56,100,100,34,100,91,51,88,100,0.9
16,Female,Central,Kasese,Luganda,61,31,68,74,48,79,82,83,30,0.97
15,Female,Norternh,Bushenyi,Lugbara,47,94,91,43,82,90,86,85,89,0.92
16,Female,Northern,Mukono,Acholi,80,75,91,50,50,100,66,81,74,0.9
16,Male,Western,Kabale,Luganda,73,87,95,76,62,92,63,30,51,0.9
16,Female,Eastern,Kabarole,Luganda,93,85,55,46,36,99,48,82,92,0.91
15,Female,Central,Mbale,Luo,78,100,38,68,56,94,72,63,67,0.95
16,Male,Eastern,Kasese,Luganda,61,45,80,53,50,100,87,57,44,0.91
16,Female,Northern,Kabale,Luganda,38,82,51,33,62,70,46,63,64,0.76
15,Male,Northern,Kampala,Lumasaba,76,65,94,69,48,96,82,31,70,0.81
15,Female,Northern,Kabale,Runyankole,68,100,77,88,66,74,69,100,38,0.92
15,Female,Eastern,Kitgum,Acholi,79,94,53,67,60,100,84,45,79,0.98
16,Female,Eastern,Kampala,Runyankole,62,54,30,65,67,60,65,48,50,0.95
15,Female,Eastern,Pallisa,Acholi,57,91,84,23,79,29,93,85,39,0.87
16,Female,Central,Mbale,Luganda,83,86,80,69,77,73,33,76,88,0.79
17,Female,Northern,Jinja,Luganda,89,65,82,64,54,89,48,56,76,0.91
16,Male,Central,Wakiso,Lumasaaba,100,100,72,73,82,78,100,79,74,0.79
16,Female,Western,Mukono,Runyankole,61,73,39,52,66,65,77,54,82,0.85
17,Male,Eastern,Mukono,Lusoga,95,60,48,46,50,59,41,34,36,0.83
16,Male,Eastern,Mukono,Runyankole,62,63,68,57,54,60,62,88,25,0.91
17,Female,Central,Gulu,Acholi,85,100,77,91,62,69,93,89,67,0.85
15,Female,Central,Mbale,Lumasaaba,54,99,80,56,85,100,59,17,100,0.92
15,Male,Northern,Arua,Acholi,67,94,26,35,96,80,53,53,38,0.85
15,Male,Northern,Kampala,Runyankole,97,80,65,54,79,58,67,49,76,0.81
15,Male,Northern,Mbarara,Rutooro,86,100,75,64,81,92,98,79,15,0.93
15,Female,Northern,Gulu,Luganda,71,92,42,57,92,91,58,91,72,0.83
17,Male,Central,Soroti,Luganda,89,100,64,54,94,77,94,94,39,0.95
16,Female,Eastern,Mbarara,Luo,26,69,79,26,64,90,59,59,57,0.94
17,Male,Eastern,Mukono,Lumasaba,100,93,34,53,46,80,91,53,65,0.96
15,Female,Eastern,Kasese,Lusoga,98,70,100,85,55,100,79,62,91,0.95
16,Female,Northern,Kasese,Acholi,90,87,47,73,81,69,46,88,88,0.76
16,Male,Northern,Kampala,Luganda,65,31,66,44,48,55,60,61,28,0.95
15,Male,Northern,Gulu,Acholi,74,100,44,59,88,72,71,100,82,0.76
15,Female,Central,Mbarara,Rutooro,79,51,47,35,90,89,38,19,93,0.8
15,Male,Central,Soroti,Luganda,71,34,67,86,55,82,69,17,54,0.9
15,Male,Eastern,Gulu,Lusoga,67,100,100,94,52,100,84,99,100,0.84
16,Female,Eastern,Soroti,Rutooro,100,61,75,92,73,66,75,85,62,0.94
16,Female,Western,Kampala,Luganda,79,78,75,74,58,62,100,84,47,0.78
15,Female,Northern,Kabale,Rukiga,77,100,64,94,66,99,65,99,72,0.99
16,Female,Northern,Pader,Luganda,100,100,68,59,71,100,92,100,100,0.89
15,Female,Northern,Kampala,Rutooro,75,100,38,35,69,79,60,100,63,0.96
17,Female,Eastern,Masindi,Ateso,59,100,26,54,96,64,87,100,84,0.94
17,Male,Northern,Tororo,Luo,85,91,100,87,38,100,71,79,70,0.82
17,Male,Eastern,Jinja,Lusoga,88,98,74,46,63,82,100,74,30,0.93
15,Female,Central,Kasese,Lumasaaba,66,39,100,92,63,100,80,17,100,0.89
17,Male,Northern,Rukungiri,Acholi,81,100,54,89,71,89,80,88,56,0.81
16,Female,Central,Mbale,Luganda,100,71,56,100,84,59,88,69,37,0.95
17,Male,Northern,Kasese,Iteso,83,100,94,72,50,100,100,94,62,0.96
15,Female,Central,Entebbe,Luganda,73,38,59,91,67,82,90,24,54,0.95
15,Female,Northern,Mbale,Runyankole,62,96,83,57,69,79,50,78,36,0.89
17,Female,Western,Kasese,Ateso,84,100,69,61,86,100,75,82,92,0.76
15,Female,Central,Arua,Runyankole,91,99,42,52,77,45,89,86,55,0.88
17,Male,Central,Mbale,Rukiga,67,100,100,61,98,93,57,100,100,0.83
17,Male,Western,Mpigi,Lugbara,100,22,66,100,51,96,48,17,82,0.86
17,Female,Eastern,Kabale,Lusoga,57,100,46,59,77,83,56,84,71,0.86
17,Female,Eastern,Mukono,Japadhola,92,59,55,70,23,53,68,61,76,0.92
17,Female,Western,Mbale,Sebei,100,64,38,100,52,100,62,56,57,0.93
16,Female,Western,Busia,Luganda,75,100,94,77,74,63,58,92,94,0.76
15,Female,Norternh,Wakiso,Luganda,100,100,75,67,77,61,87,95,70,0.78
16,Male,Central,Mbarara,Lugbara,45,99,64,23,76,48,77,79,72,0.85
15,Female,Northern,Kampala,Lusoga,78,89,77,78,41,95,51,49,65,0.8
15,Female,Northern,Mbale,Luganda,59,100,26,52,85,85,72,63,92,0.87
15,Female,Northern,Soroti,Luganda,53,60,26,72,41,97,95,52,81,0.99
17,Male,Eastern,Soroti,Lusoga,59,94,26,93,100,76,89,81,76,0.96
15,Female,Northern,Kabale,Rukiga,88,95,100,86,61,100,94,90,54,0.82
17,Male,Central,Gulu,Langi,88,88,37,70,62,78,88,84,45,0.93
15,Female,Northern,Mukono,Langi,87,100,56,77,69,82,100,43,73,0.95
17,Female,Western,Mbale,Luganda,36,92,39,56,100,71,91,95,23,0.96
15,Male,Eastern,Wakiso,Acholi,97,54,100,100,38,100,85,53,88,0.88
15,Male,Eastern,Mbale,Lumasaba,65,69,38,34,72,94,68,17,70,0.86
16,Female,Eastern,Mukono,Luganda,60,77,79,69,58,69,74,96,68,0.95
16,Female,Northern,Soroti,Ateso,53,93,69,56,73,52,71,83,48,0.84
15,Female,Eastern,Mpigi,Acholi,89,100,91,76,74,30,35,89,31,0.87
17,Female,Northern,Kampala,Luganda,69,80,100,100,49,100,80,89,61,0.98
15,Male,Northern,Kampala,Rukiga,81,58,92,70,50,81,90,45,50,0.76
15,Female,Northern,Kapchorwa,Ateso,58,71,100,92,48,100,35,73,76,0.94
17,Female,Northern,Mbarara,Alur,77,100,59,50,65,100,76,53,100,0.76
17,Male,Central,Gulu,Acholi,95,87,100,90,60,97,100,91,82,0.83
15,Female,Eastern,Mbale,Rutooro,73,94,85,58,65,100,69,28,100,0.77
16,Female,Eastern,Mbale,Lango,72,100,73,81,88,87,90,91,46,0.97
17,Female,Central,Mbale,Luganda,86,100,39,71,76,91,100,79,58,0.93
15,Male,Eastern,Kabale,Alur,82,100,66,69,60,100,60,70,64,0.91
15,Male,Central,Soroti,Luganda,83,69,87,50,30,100,79,21,71,0.9
16,Male,Central,Kabale,Luganda,66,81,100,85,49,100,45,82,73,0.9
17,Female,Northern,Tororo,Rutooro,88,92,79,59,83,67,39,63,100,0.79
15,Female,Central,Mbale,Lugisu,89,100,92,80,49,78,100,55,52,0.96
15,Female,Central,Amuru,Acholi,100,100,35,66,57,85,72,60,82,0.78
17,Male,Northern,Mukono,Rukiga,100,100,78,70,58,95,89,86,63,0.82
16,Male,Northern,Kampala,Lugbara,40,88,90,71,47,94,68,72,100,0.9
15,Male,Western,Mbarara,Runyankole,87,77,82,89,53,100,68,55,97,0.91
16,Female,Eastern,Gulu,Rukiga,50,84,29,67,67,96,55,82,71,0.98
17,Female,Northern,Kasese,Runyankole,56,100,82,44,100,100,60,81,93,0.81
15,Female,Northern,Soroti,Acholi,92,95,100,63,47,95,91,84,100,0.83
17,Male,Central,Kampala,Luganda,59,100,28,46,99,89,68,74,63,0.89
17,Female,Northern,Mbale,Runyankole,38,72,98,63,65,75,92,94,25,0.99
16,Male,Central,Bushenyi,Runyankole,80,99,81,72,54,100,44,76,90,0.84
17,Female,Eastern,Kampala,Luganda,64,60,81,52,60,98,82,48,98,0.91
17,Female,Western,Mbale,Acholi,100,52,100,71,70,100,33,56,100,0.76
15,Male,Northern,Tororo,Lugbara,55,54,76,82,60,92,52,20,57,0.92
17,Female,Northern,Lira,Luganda,63,53,86,67,52,78,89,72,53,0.76
15,Male,Eastern,Gulu,Rukiga,78,73,54,49,84,77,52,48,55,0.81
16,Female,Northern,Mukono,Acholi,94,100,31,56,83,76,67,71,69,0.85
17,Female,Central,Masaka,Runyankole,77,97,78,65,78,69,59,78,58,0.93
16,Female,Central,Jinja,Lango,80,53,38,55,50,72,86,53,100,0.89
16,Female,Eastern,Lira,Luganda,72,94,87,59,65,79,39,21,89,0.79
15,Female,Central,Kabale,Lugbara,45,40,100,64,69,96,62,17,100,0.8
17,Male,Eastern,Mbale,Runyankole,52,100,86,44,51,100,75,92,100,0.9
16,Female,Central,Gulu,Lugisu,89,60,80,75,45,100,71,72,97,0.92
17,Male,Eastern,Gulu,Acholi,96,100,69,59,31,90,69,68,32,0.87
17,Female,Central,Kitgum,Rutooro,79,88,26,74,94,100,85,84,53,0.93
16,Female,Northern,Gulu,Acholi,59,100,60,76,65,69,100,100,46,0.77
15,Female,Western,Kabale,Rukiga,71,100,57,53,82,100,100,100,60,0.83
15,Female,Eastern,Kapchorwa,Luganda,65,100,50,83,30,83,33,61,84,0.9
15,Female,Central,Kapchorwa,Lumasaaba,50,52,52,62,70,90,53,42,89,0.82
16,Female,Northern,Mbarara,Luganda,61,100,69,70,99,100,54,95,77,0.83
15,Female,Central,Mbale,Lumasaaba,41,99,99,67,39,96,96,100,53,0.99
15,Female,Northern,Gulu,Luganda,96,55,49,62,73,98,74,41,87,0.95
15,Female,Northern,Wakiso,Luganda,82,100,78,46,72,70,99,92,28,0.9
16,Female,Northern,Gulu,Rukiga,87,62,80,51,60,100,100,83,72,0.89
15,Male,Eastern,Mpigi,Acholi,95,54,66,95,65,60,94,23,46,0.98
16,Female,Eastern,Pallisa,Lusoga,62,79,59,86,92,97,57,76,77,0.84
16,Female,Western,Gulu,Langi,100,100,71,79,60,100,100,100,81,0.89
17,Female,Northern,Soroti,Runyankole,68,87,90,34,63,68,65,73,100,0.89
16,Male,Northern,Mbale,Japadhola,99,100,75,82,61,100,87,64,100,0.92
15,Female,Northern,Arua,Runyankole,81,41,77,62,35,92,84,35,100,0.77
15,Female,Central,Mbarara,Luo,60,75,62,74,100,87,96,67,75,0.86
15,Female,Northern,Mbale,Teso,84,74,95,66,90,100,78,19,100,0.89
17,Female,Northern,Gulu,Luganda,91,55,100,67,50,60,98,66,39,0.76
15,Female,Northern,Jinja,Luo,84,67,48,55,70,96,87,35,77,0.89
17,Female,Central,Lira,Luganda,74,100,40,37,72,100,80,59,93,0.91
15,Female,Western,Apac,Lusoga,52,71,86,76,58,77,28,22,100,0.9
17,Female,Northern,Soroti,Lango,96,95,37,47,59,100,67,99,82,0.91
15,Male,Eastern,Lira,Rukiga,88,65,58,66,70,52,67,73,75,0.91
15,Female,Northern,Mbarara,Rukiga,79,79,81,54,39,100,72,46,69,0.94
17,Female,Central,Mbale,Luganda,46,91,100,81,38,100,100,44,48,0.97
15,Male,Northern,Kitgum,Luganda,88,100,37,55,56,84,84,70,54,0.97
17,Female,Eastern,Mbale,Lumasaba,37,87,52,89,86,91,76,75,64,0.9
15,Female,Central,Mbale,Luganda,59,79,39,44,100,72,54,67,36,0.84
15,Female,Eastern,Ntungamo,Runyankole,70,86,83,64,82,100,47,93,81,0.88
15,Male,Western,Soroti,Acholi,87,73,81,94,65,92,91,55,79,0.88
17,Female,Western,Mityana,Lumasaaba,29,100,68,27,94,100,81,77,65,0.94
16,Female,Eastern,Tororo,Luganda,28,35,36,57,44,93,60,17,60,0.94
15,Male,Western,Bushenyi,Lumasaaba,95,100,80,94,77,100,89,98,100,0.97
17,Female,Western,Kitgum,Luganda,70,97,70,44,51,86,53,30,61,0.88
16,Male,Central,Mbale,Acholi,65,96,61,48,100,72,87,100,26,0.99
16,Female,Western,Gulu,Luganda,92,63,93,86,59,100,79,42,100,0.86
15,Male,Central,Kabale,Runyankole,40,44,83,64,71,76,50,17,83,0.76
15,Female,Central,Kitgum,Luganda,88,100,38,71,38,99,78,75,69,0.84
15,Male,Norternh,Gulu,Luganda,53,100,75,58,64,99,76,41,32,0.76
16,Female,Eastern,Kisoro,Luganda,52,84,89,71,90,81,77,45,54,0.76
15,Female,Western,Mbarara,Runyankole,75,37,88,62,48,94,66,40,93,0.81
17,Female,Eastern,Mbale,Runyankole,72,60,54,58,89,100,66,65,88,0.96
15,Female,Northern,Gulu,Lumasaaba,36,100,75,49,78,59,49,67,66,0.76
17,Male,Western,Mpigi,Runyankole,94,84,86,76,63,100,61,49,88,0.8
17,Male,Central,Bushenyi,Lango,88,100,68,88,55,63,97,89,22,0.99
15,Female,Central,Kisoro,Runyankole,88,100,99,84,80,83,100,87,69,0.94
17,Female,Western,Jinja,Ateso,49,68,35,72,74,91,53,73,55,0.92
16,Male,Northern,Mukono,Luganda,57,64,100,39,41,90,53,50,48,0.87
15,Female,Western,Gulu,Acholi,71,98,43,77,54,99,36,17,100,0.85
16,Female,Western,Kampala,Rukiga,100,40,26,72,54,66,69,22,31,0.95
15,Male,Northern,Kitgum,Langi,89,100,57,84,87,77,90,98,44,0.95
15,Female,Central,Gulu,Lugisu,69,100,87,79,83,85,100,66,88,0.9
16,Male,Norternh,Kasese,Rukonjo,48,100,98,41,58,98,58,98,46,0.89
15,Female,Eastern,Amuru,Runyankole,95,81,58,91,64,100,65,53,100,0.89
15,Male,Central,Jinja,Rukiga,100,94,76,69,51,100,59,85,68,0.94
15,Female,Northern,Mbale,Luganda,43,68,68,47,41,100,70,62,20,0.76
15,Male,Eastern,Mbarara,Runyankole,65,65,74,51,53,100,73,72,39,0.9
15,Male,Northern,Kitgum,Luganda,70,100,45,33,73,58,40,63,58,0.89
15,Female,Central,Rukungiri,Luganda,82,75,73,88,57,100,61,51,85,0.92
17,Female,Eastern,Kampala,Luganda,55,100,100,85,68,100,49,40,72,0.85
15,Female,Western,Kitgum,Ateso,69,97,100,68,59,100,70,65,84,0.89
16,Female,Central,Soroti,Luganda,100,94,64,92,52,100,95,91,85,0.98
17,Female,Eastern,Mbale,Luganda,76,78,100,54,10,100,82,73,81,0.82
15,Female,Eastern,Bushenyi,Lusoga,76,100,64,65,84,90,52,19,100,0.79
16,Female,Western,Mbarara,Acholi,40,55,91,49,57,92,52,19,100,0.96
15,Male,Eastern,Kampala,Ateso,66,89,100,43,71,96,60,64,77,0.76
15,Male,Northern,Gulu,Luganda,91,77,97,56,58,95,31,36,100,0.76
15,Female,Eastern,Mbarara,Acholi,88,100,81,77,86,97,62,29,94,0.89
15,Female,Northern,Kasese,Acholi,78,92,86,94,51,100,64,74,100,0.89
15,Female,Eastern,Kisoro,Runyankole,89,100,100,76,70,90,64,91,76,0.76
15,Male,Western,Mbarara,Runyankole,57,42,96,86,45,100,81,49,67,0.92
17,Male,Central,Mbarara,Luganda,86,100,45,72,66,100,79,37,95,0.9
15,Female,Eastern,Kitgum,Luganda,95,100,100,75,54,100,82,100,58,0.95
16,Female,Central,Kasese,Lugbara,63,74,69,53,90,98,51,35,100,0.9
16,Female,Northern,Kabale,Iteso,100,71,80,100,66,84,89,98,81,0.94
15,Female,Central,Bushenyi,Luganda,87,27,58,71,45,98,49,69,56,0.87
16,Male,Central,Lira,Rutooro,43,52,79,70,70,100,96,71,70,0.84
17,Male,Central,Jinja,Acholi,19,92,78,63,97,98,99,68,50,0.91
16,Male,Eastern,Kitgum,Acholi,98,100,33,27,61,32,100,100,41,0.76
15,Female,Eastern,Mukono,Lusoga,70,100,67,71,62,69,46,96,84,0.89
15,Male,Northern,Gulu,Luganda,88,76,63,44,76,75,60,29,97,0.76
17,Male,Western,Soroti,Sebei,94,94,67,60,49,100,70,47,82,0.94
17,Male,Central,Kabale,Runyankole,66,58,93,100,56,100,63,71,65,0.96
17,Female,Eastern,Kampala,Luo,91,100,70,47,53,51,91,100,18,0.92
16,Male,Eastern,Jinja,Lusoga,90,100,81,79,44,100,75,71,70,0.76
16,Female,Northern,Kabale,Luganda,73,66,45,57,84,100,59,49,94,0.99
15,Female,Eastern,Mukono,Luganda,68,86,80,87,94,51,67,62,95,0.76
15,Female,Northern,Mbale,Luganda,77,100,55,51,70,100,100,53,50,0.92
15,Female,Central,Kasese,Runyankole,60,100,97,66,85,100,67,100,100,0.95
17,Female,Central,Kabale,Runyankole,56,100,92,48,70,93,43,94,99,0.85
16,Female,Eastern,Jinja,Ateso,96,59,64,90,29,100,60,44,99,0.94
17,Male,Eastern,Mbale,Acholi,58,100,60,30,57,75,100,99,58,0.92
17,Male,Eastern,Rukungiri,Runyankole,57,97,62,41,54,67,68,37,51,0.87
17,Male,Central,Kitgum,Runyankole,67,94,39,40,93,98,78,65,76,0.96
15,Female,Northern,Masindi,Runyankole,97,41,75,84,65,73,78,53,85,0.92
16,Female,Central,Kasese,Luganda,65,76,100,50,57,100,65,59,100,0.76
16,Male,Eastern,Kisoro,Runyankole,82,100,53,23,100,100,100,100,100,0.89
15,Male,Eastern,Entebbe,Runyankole,97,100,39,90,86,100,89,73,51,0.88
15,Female,Eastern,Gulu,Ateso,29,80,49,44,72,61,21,17,100,0.79
15,Male,Northern,Lira,Lusoga,59,68,78,55,81,92,83,68,67,0.94
17,Female,Central,Mbale,Luganda,54,100,90,69,81,79,100,100,53,0.98
16,Male,Western,Mbale,Lusoga,100,74,60,76,47,98,66,54,71,0.95
15,Female,Eastern,Kitgum,Luganda,93,89,100,88,53,82,53,52,100,0.79
16,Male,Eastern,Kasese,Acholi,71,97,100,71,71,30,69,60,81,0.76
15,Female,Northern,Mbarara,Luganda,78,100,77,76,79,88,93,100,46,0.99
15,Female,Northern,Gulu,Runyankole,53,100,91,72,78,100,71,74,85,0.94
17,Male,Eastern,Jinja,Iteso,87,6,56,77,47,61,87,46,77,0.76
15,Female,Northern,Soroti,Luganda,95,98,80,80,71,57,80,79,100,0.84
15,Female,Western,Gulu,Luganda,93,100,63,58,73,81,89,86,100,0.99
17,Male,Northern,Gulu,Lusamia,99,100,82,67,63,93,67,34,58,0.76
15,Female,Western,Mbarara,Luganda,84,73,67,28,90,87,87,32,60,0.88
16,Female,Western,Gulu,Teso,94,100,90,90,53,100,75,68,85,0.95
16,Male,Northern,Masaka,Runyankole,42,100,86,47,30,100,100,100,67,0.91
15,Female,Eastern,Mukono,Luganda,65,65,66,65,77,51,100,51,45,0.89
15,Female,Central,Wakiso,Luganda,93,69,52,30,73,55,81,51,89,0.92
16,Female,Central,Kabale,Luganda,89,33,38,45,54,83,72,17,53,0.88
15,Female,Northern,Soroti,Luganda,100,100,62,78,78,86,95,79,58,0.9
15,Female,Northern,Entebbe,Runyankole,71,98,53,40,55,100,41,30,61,0.82
16,Male,Northern,Mukono,Acholi,36,100,100,75,56,82,61,96,53,0.94
15,Male,Central,Iganga,Lusoga,61,100,85,64,67,79,97,98,37,0.95
15,Female,Eastern,Arua,Lusoga,81,100,85,41,65,65,73,100,51,0.95
15,Male,Western,Mbarara,Luganda,89,90,78,50,54,100,88,62,100,0.87
16,Female,Western,Lira,Rukonjo,54,93,34,72,89,81,74,31,52,0.99
17,Male,Central,Kitgum,Japadhola,56,51,72,73,76,77,21,28,63,0.87
15,Female,Northern,Iganga,Rukiga,71,78,81,45,67,66,97,45,82,0.87
17,Female,Central,Mbale,Luganda,60,73,100,80,52,69,79,96,69,0.97
17,Female,Western,Mbale,Acholi,90,98,89,29,65,100,98,17,43,0.88
15,Male,Eastern,Gulu,Lumasaba,79,100,48,52,79,60,65,94,49,0.86
17,Male,Central,Lira,Acholi,62,100,84,77,65,100,85,43,70,0.83
16,Male,Northern,Pader,Luganda,79,100,72,89,86,77,73,87,48,0.93
17,Male,Central,Wakiso,Japadhola,79,68,51,73,85,100,67,45,94,0.93
16,Female,Western,Entebbe,Langi,100,84,55,52,71,100,85,42,86,0.9
15,Male,Central,Kabale,Runyankole,44,85,79,48,68,42,100,89,46,0.95
15,Male,Northern,Gulu,Acholi,64,78,71,80,89,83,53,59,94,0.9
15,Male,Western,Arua,Runyankole,73,55,61,69,63,84,77,42,42,0.83
15,Male,Central,Iganga,Acholi,59,100,100,50,63,100,30,93,90,0.86
16,Male,Norternh,Bushenyi,Acholi,90,100,39,55,65,62,98,89,100,0.95
17,Male,Northern,Mbarara,Acholi,90,100,44,36,55,80,50,60,50,0.78
16,Female,Northern,Mbarara,Luganda,81,83,91,81,59,96,79,63,98,0.92
15,Female,Central,Jinja,Lumasaaba,85,89,55,58,70,54,65,86,41,0.9
16,Male,Northern,Jinja,Luganda,60,95,93,59,47,100,98,88,47,0.87
15,Female,Eastern,Wakiso,Lugisu,57,51,62,33,51,75,92,31,61,0.92
17,Male,Northern,Bushenyi,Luo,100,100,100,69,21,100,82,32,100,0.79
15,Female,Northern,Gulu,Lumasaba,67,76,77,42,58,57,80,78,28,0.82
16,Female,Central,Gulu,Runyankole,84,100,95,80,52,100,84,46,94,0.88
15,Female,Eastern,Kabale,Luganda,89,80,85,100,67,100,86,77,100,0.87
17,Female,Central,Jinja,Lusoga,67,95,80,45,69,58,32,99,76,0.8
16,Female,Northern,Pader,Luganda,75,28,100,67,45,100,62,100,73,0.93
16,Male,Eastern,Gulu,Acholi,100,100,64,76,67,66,100,91,60,0.94
16,Female,Eastern,Gulu,Luganda,66,27,98,62,18,100,76,50,56,0.87
15,Female,Central,Pader,Luganda,86,100,89,61,64,100,50,62,91,0.76
15,Female,Northern,Mbale,Luganda,65,100,75,54,100,77,88,90,73,0.82
17,Male,Northern,Pader,Lango,92,100,33,38,52,51,100,59,38,0.87
15,Male,Northern,Arua,Lumasaaba,74,100,100,100,86,100,89,94,100,0.83
17,Female,Northern,Kabarole,Luganda,48,83,42,32,80,51,93,80,58,0.99
17,Male,Northern,Lira,Lusamia,67,100,44,42,92,82,60,63,91,0.76
17,Female,Eastern,Jinja,Runyankole,100,100,60,67,84,75,100,100,74,0.84
15,Female,Central,Gulu,Luganda,51,20,64,57,90,52,100,25,41,0.88
17,Female,Northern,Gulu,Lusoga,100,96,26,45,77,100,98,41,94,0.86
16,Male,Eastern,Arua,Rukiga,96,97,56,78,56,100,58,29,89,0.76
17,Male,Northern,Kabale,Runyankole,67,60,64,77,27,57,62,38,74,0.97
15,Male,Eastern,Bushenyi,Rukiga,98,94,26,65,14,90,76,45,34,0.95
17,Female,Eastern,Kabale,Acholi,93,93,65,41,41,100,76,65,92,0.83
15,Male,Northern,Soroti,Ateso,93,80,91,68,31,87,60,48,84,0.89
15,Male,Central,Arua,Runyankole,84,78,86,84,62,97,80,17,100,0.82
15,Female,Eastern,Mbarara,Lango,44,100,89,52,100,95,79,90,81,0.79
16,Male,Eastern,Kisoro,Runyoro,76,66,100,61,72,94,58,43,84,0.76
17,Female,Northern,Soroti,Acholi,100,100,36,89,58,96,100,73,90,0.93
17,Female,Eastern,Jinja,Runyankole,100,84,58,51,61,58,41,46,100,0.89
16,Male,Western,Ntungamo,Runyankole,64,65,100,46,47,49,75,90,75,0.76
15,Female,Eastern,Gulu,Lugisu,77,78,56,53,38,86,39,78,54,0.92
15,Male,Central,Bushenyi,Lugisu,77,97,67,44,62,88,72,97,100,0.76
15,Female,Western,Kabarole,Luganda,65,76,52,32,82,67,52,42,87,0.91
15,Male,Eastern,Arua,Runyankole,95,80,100,82,79,100,76,83,82,0.8
15,Female,Northern,Soroti,Luganda,70,65,60,77,59,75,53,86,56,0.91
17,Male,Western,Lira,Langi,87,100,100,90,56,98,100,85,89,0.92
17,Female,Eastern,Lira,Lumasaaba,100,97,88,71,61,100,63,75,100,0.91
15,Female,Eastern,Amuru,Luganda,100,95,100,57,62,83,89,88,89,0.81
15,Male,Western,Mbarara,Runyankole,52,100,63,43,87,64,68,95,86,0.98
15,Male,Northern,Jinja,Luganda,47,84,100,73,44,98,67,100,39,0.82
16,Female,Northern,Gulu,Ateso,81,58,97,56,19,56,100,96,91,0.76
17,Female,Eastern,Tororo,Luganda,66,100,50,48,51,100,86,83,48,0.9
16,Male,Eastern,Mbarara,Luganda,100,96,89,79,51,97,73,46,76,0.82
16,Female,Northern,Soroti,Rutooro,100,65,100,29,48,80,76,53,82,0.82
15,Female,Eastern,Soroti,Lugisu,92,84,100,100,55,100,86,65,71,0.93
15,Female,Central,Mbale,Luganda,80,90,69,93,72,93,61,97,47,0.91
15,Female,Northern,Kabale,Luganda,72,29,94,74,55,100,49,17,69,0.92
15,Female,Northern,Lira,Luganda,98,100,26,52,100,88,81,62,68,0.94
15,Female,Central,Mbale,Luganda,75,97,66,34,56,99,37,32,63,0.88
16,Male,Northern,Wakiso,Luganda,91,100,73,64,63,81,92,97,100,0.94
17,Male,Northern,Kitgum,Langi,89,100,26,91,64,100,84,23,60,0.99
16,Female,Eastern,Kabale,Luganda,95,94,88,83,63,94,47,32,94,0.9
16,Female,Northern,Rukungiri,Luganda,54,60,82,64,58,96,46,51,68,0.91
16,Male,Eastern,Apac,Lango,82,99,52,41,82,77,86,71,100,0.89
15,Female,Eastern,Iganga,Luganda,78,100,60,68,80,90,45,96,65,0.81
15,Male,Northern,Pader,Acholi,53,100,45,58,94,87,55,66,95,0.87
17,Male,Eastern,Wakiso,Lumasaaba,88,100,75,77,83,68,75,70,60,0.76
16,Male,Northern,Tororo,Acholi,75,100,53,51,83,83,42,86,56,0.91
15,Female,Western,Soroti,Luganda,80,26,99,79,56,100,82,94,74,0.97
16,Male,Central,Jinja,Langi,44,96,85,39,79,66,54,50,67,0.92
15,Female,Eastern,Kitgum,Luganda,76,99,35,51,63,84,50,58,90,0.76
17,Female,Northern,Kapchorwa,Luganda,91,100,74,71,45,58,77,100,73,0.77
15,Female,Eastern,Bushenyi,Luganda,71,100,100,88,42,92,91,90,71,0.9
16,Female,Northern,Kabale,Luganda,100,89,58,27,86,77,72,29,75,0.77
15,Female,Western,Pallisa,Runyoro,77,50,44,61,49,100,98,17,65,0.86
15,Female,Northern,Jinja,Acholi,35,100,87,68,59,100,89,100,66,0.92
15,Female,Northern,Mbale,Luganda,92,55,94,96,55,100,70,54,100,0.77
17,Female,Eastern,Gulu,Luganda,89,100,98,57,72,100,100,100,90,0.86
